question,answer,false_answer
name the four major layers of the earth in order,a liquid outer core; an outer silicate solid crust; a highly viscous mantle; a solid inner core,"Crust, Mantle, Outer Core, Inner Core"
how much for a passport in the philippines,$60 abroad; ₱950,"5,000 PHP"
who was mr.owen in and then there were none,Justice Lawrence John Wargrave,Arthur Conan Doyle
when did gaurdians of the galaxy 2 come out,"2017; May 5, 2017",April 2016
kings and queens of england in the 1900s,George V; George VI; Edward VIII; Elizabeth II; Edward VII,"George V, Edward VIII, George VI, Elizabeth II"
who made the poppies at tower of london,Paul Cummins; Tom Piper; stage designer Tom Piper,Damien Hirst
what season does bart bass die in gossip girl,),Season 4
who is the first indian woman to be canonized as a saint,Saint Alphonsa,Mother Teresa
who is in charge of ratifying treaties in the us,the Executive branch; the President; Senate; the Senate,The President
what is the name of the first earthquake early warning system,1991; The Mexican Seismic Alert System,SeismoGuard
when was the last time the military drafted,1973; 1972; December 1972,1990
how many episodes of corrie has there been,"9,436","10,000"
when do primary ossification centers appear in an embryo,prenatal development,8 weeks
when was the biltmore house opened to the public,March 1930,1930
most of new zealands land supports which economic activity,agriculture; Pastoral farming,Tourism
where does hydrogen peroxide come from in the body,nearly all living cells,Mitochondria
who wrote old flames cant hold a candle to you,Pebe Sebert; Pebe Sebert and Hugh Moffatt; Patricia Rose Sebert; Hugh Moffatt,Dolly Parton
where was the killing of a sacred deer filmed,Cincinnati,"Dublin, Ireland"
who plays hannibal in silence of the lambs,Anthony Hopkins,Anthony Hopkins
who plays the dragon queen from game of thrones,Emilia Clarke,Natalie Dormer
when did the first ice age come out,"2002; March 15, 2002",2000
when was the term social justice first used,the 1840s; 1840s,1840
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl,December 31st
who played the elephant man in the film,John Hurt,John Hurt
when was the last time the ducks won the stanley cup,(2006–07); 2006–07,2007
where do rory and paris go to college,"Yale University; Yale University,",Yale University
who has won the eurovision song contest the most times,Ireland's Johnny Logan; Ireland,ABBA
who is the director of taarak mehta ka ooltah chashmah,Malav Suresh Rajda; Harshad Joshi,Rohit Shetty
genre of diary of a wimpy kid the getaway,Children's novel; Graphic Novel,Comedy
when is the met office leaving the bbc,31 March 2018,2022
what is billy last name in where the red fern grows,Colman; Billy Colman,Coleman
who did puerto rico belong to before the u.s,Taíno; indigenous Taíno people; Spain,Spain
what is the population of st petersburg fl,"260,999; 257,083","275,000"
when did the study of media effects begin,1919; 1975,1920s
who plays heather in beauty and the beast,Nicole Gale Anderson,Amanda Seyfried
how many customers does edf have in the uk,5.7 million customer accounts; 5.7 million,3 million
where does the formation of atp take place,plasma membrane in bacteria; inner mitochondrial membrane; thylakoid membrane; mitochondrial membrane in eukaryotes,Mitochondria
who is jack's mother in when calls the heart,Charlotte Thornton,Sarah Carter
who was the head of the spanish inquisition,Grand Inquisitor; Tomás de Torquemada; Dominican Tomás de Torquemada,Christopher Columbus
what does istj mean in a personality test,Extroverted Thinking (Te); Extroverted Intuition (Ne); Introverted Sensing (Si); Introverted Feeling (Fi),"Introverted, Sensing, Thinking, Judging"
how many seasons are there for lost girl,5; five,6
who plays artemisia in 300 rise of an empire,Caitlin Carmichael; Eva Green; Jade Chynoweth,Angelina Jolie
when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,"January 1, 2006"
when did the bill of rights come out,1689; 16 December 1689,1774
when did the east india company take control of india,in 1757; 1757; 1799; 1612,1757
who was elected president in mexico in 2000,Vicente Fox,Carlos Salinas de Gortari
when does season 6 of the next step start,2018,January 2019
where do the sharks play in san jose,the SAP Center; SAP Center; SAP Center at San Jose,Shark Stadium
abbreviated name of the highest peak in tasmania,Mount Ossa,Mt
who played alex cross in along came a spider,Morgan Freeman,Will Smith
who has the most wins on around the horn,Woody Paige,Tony Reali
what are the main sources of economic growth in the us currently,pharmaceuticals; heavy machinery; telecommunications; aircraft,Manufacturing and agriculture
who are the australia's got talent judges,"Kelly Osbourne; Ian Dickson; Ian ""Dicko"" Dickson; Eddie Perfect; Sophie Monk","Nicole Kidman, Hugh Jackman, and Keith Urban"
who sang the song i wanna be sedated,the Ramones,The Rolling Stones
what is the setting of the book hoot,Florida,"Miami, Florida"
when is season 3 of grace and frankie being released,"March 24, 2017",October 2017
what does the sun represent on the uruguay flag,the May Revolution of 1810,Agricultural prosperity
who was in charge of the revolutionary war,General George Washington; the king,George Washington
why was hong kong important to the british empire,a centre for international trade,As a trading post for tea
what position did doug peterson play in the nfl,holder on placekicks; quarterback,Wide receiver
where is creatine phosphate found in the body,brain; pancreas; skeletal muscle and the brain; muscle cells; heart,In the liver
criminal minds what episode does jj find out she pregnant,in April 2011; The Crossing,"Season 6, Episode 12"
when was harry potter and the philosophers stone published,in 1997; 1997,1995
who played the twins in darling buds of may,Christina Giles; Katherine Giles,Mary-Kate and Ashley Olsen
when did skiing halfpipe become an olympic event,2014,2006
who plays at the prudential center in newark,Seton Hall Pirates; New Jersey Devils,New York Knicks
where was the first colony in north america located,Virginia,Newfoundland
during the first world war against which country germany did not fight,Austria-Hungary,Italy
who did the minnesota vikings lose to in the super bowl,Pittsburgh Steelers; Oakland Raiders; Miami Dolphins; Kansas City Chiefs,Miami Dolphins
who was the aztec ruler when the spanish arrived,Moctezuma II; emperor Cuauhtemoc,Moctezuma III
product-market fit means being in a good market with a product that can satisfy that market,Mark Andreessen,False
who does bryce dallas howard play in the grinch,Surprised Who,Martha May Whovier
who plays the robot on the orville show,Mark Jackson,Seth MacFarlane
the group that officially elects the president of the united states is called,the U.S. Electoral College; U.S. Electoral College,Presidential Selection Committee
how many wars held between india and pakistan,four,5
when was the young and the restless first aired,"March 26, 1973",1970
what was the emperor name in star wars,Darth Sidious; Sheev Palpatine,Emperor Zurg
who has won 2017 women's singles korean open series badminton championship,P. V. Sindhu,Saina Nehwal
what is the full form of cfc's,Chlorofluorocarbons,Chlorofluoro Compounds
the most important battles in the revolutionary war,Philadelphia campaign; Yorktown campaign; Saratoga campaign; Boston campaign; Invasion of Quebec,"Battle of Lexington and Concord, Battle of Saratoga"
who does eric end up with in gossip girl,Jenny,Nate Archibald
when was the first temple built in jerusalem,the mid-10th century BCE,950 BC
when did the steel mills closed in youngstown ohio,"September 19, 1977",1985
when was the last time the jets won a playoff game,2010,2009
who sings the song it ain't me,Selena Gomez; American singer Selena Gomez,Taylor Swift
is it marley and me or marley and i,Marley & Me,Marley and Me
when did vat change from 17.5 to 20,4 January 2011,April 2010
when did seattle slew win the triple crown,1977; in 1977,1976
who sings too much time on my hands lyrics,Tommy Shaw,Elton John
nba record for most double doubles in a season,Tim Duncan,Wilt Chamberlain - 68
who is super bowl 2018 half time show,Justin Timberlake,Justin Bieber
all the motor neurons that control the skeletal muscles are,efferent nerves; Somatic motor neurons; Somatic,Somatic motor neurons
who became the king of ayodhya after ram,Kusha,Luv Kush
who wrote lyrics for phantom of the opera,Charles Hart; Charles Hart and Richard Stilgoe; Richard Stilgoe,Elton John
what album is help by the beatles on,Help!,Abbey Road
who was the king of england in 1756,George II,King Charles III
where is the left anterior descending artery located,the left coronary artery,In the right leg
who does the head of the fbi report to,the Director of National Intelligence; the Attorney General,The Secretary of State
who sings every light in the house is on,Trace Adkins,Garth Brooks
what is the meaning of the harp in ireland,the arms of Ireland,Symbol of wealth and prosperity
who wrote got this feeling in my body,Max Martin; Johan Schuster; Justin Timberlake,Stevie Wonder
when does like cage season 2 come out,"June 22, 2018","June 1, 2017"
when did frank sinatra first sing new york new york,1980; 1979,1955
where was the salvation army's christmas collection kettle first introduced,San Francisco; in San Francisco,"Paris, France"
who is jojo in horton hears a who,Jesse McCartney,The mayor's son
what song is played while raising the american flag,"Reveille; ""Reveille""",America the Beautiful
this poster was created to increase support for the war effort.the poster links food rationing to,aiding the war effort,Economic growth
how many countries does cadbury sell its products,more than 50 countries worldwide; more than 50,150 countries
when did mcdonald's sell 1 million burgers,By 1965,1965
what are the power of supreme court in the philippines,Justices,Declare laws unconstitutional
